LCNS_NO,BSSH_NM,CHNG_DT,CHNG_PRVNS,INDUTY_CD_NM,SITE_ADDR,CHNG_BF_CN,CHNG_AF_CN,TELNO,DB_EXISTS,DB_LAST_EVENT_DATE,IS_MISSED,MISSED_REASON
20000107073,(유)아웃백스테이크하우스코리아 코엑스스타필드점,20240118,변경민원,일반음식점,서울특별시 강남구 영동대로 513(코엑스몰 지하1층 H123호 삼성동),박**,송********************,025584491,Y,20260401,N,NONE
20000107073,(유)아웃백스테이크하우스코리아 코엑스스타필드점,20211208,변경민원,일반음식점,서울특별시 강남구 영동대로 513(코엑스몰 지하1층 H123호 삼성동),이**,박**,025584491,Y,20260401,N,NONE
20150362146,(유)아웃백스테이크하우스코리아 김포점,20240118,변경민원,일반음식점,경기도 김포시 고촌읍 아라육로152번길 100(577호 현대프리미엄아울렛),박**,송**,0220548365,Y,20260402,N,NONE
20150362146,(유)아웃백스테이크하우스코리아 김포점,20211210,변경민원,일반음식점,경기도 김포시 고촌읍 아라육로152번길 100(577호 현대프리미엄아울렛),이**,박**,0220548365,Y,20260402,N,NONE
20080433187,(주)동원홈푸드대영베이스그늘집1,20240118,변경민원,일반음식점,충청북도 충주시 대소원면 성종두담길 113,정*******,정*******,0438508614,Y,20240118,N,NONE
20080433187,(주)동원홈푸드대영베이스그늘집1,20230227,변경민원,일반음식점,충청북도 충주시 대소원면 성종두담길 113,정**,정*******,0438508614,Y,20240118,N,NONE
20080433184,(주)동원홈푸드대영베이스스타트하우스,20240118,변경민원,일반음식점,충청북도 충주시 대소원면 성종두담길 113,정*******,정*******,0438508614,Y,20240118,N,NONE
20080433184,(주)동원홈푸드대영베이스스타트하우스,20230227,변경민원,일반음식점,충청북도 충주시 대소원면 성종두담길 113,정**,정*******,0438508614,Y,20240118,N,NONE
20110433390,(주)동원홈푸드대영힐스그늘집2,20240118,변경민원,일반음식점,충청북도 충주시 대소원면 성종두담길 114(외 73필지),정*******,정*******,0438508600,Y,20240118,N,NONE
20110433390,(주)동원홈푸드대영힐스그늘집2,20230227,변경민원,일반음식점,충청북도 충주시 대소원면 성종두담길 114(외 73필지),정**,정*******,0438508600,Y,20240118,N,NONE
20110433392,(주)동원홈푸드대영힐스스타트하우스,20240118,변경민원,일반음식점,충청북도 충주시 대소원면 성종두담길 114(외 73필지),정*******,정*******,0438508615,Y,20240118,N,NONE
20110433392,(주)동원홈푸드대영힐스스타트하우스,20230227,변경민원,일반음식점,충청북도 충주시 대소원면 성종두담길 114(외 73필지),정**,정*******,0438508615,Y,20240118,N,NONE
20110433393,(주)동원홈푸드대영힐스클럽하우스,20240118,변경민원,일반음식점,충청북도 충주시 대소원면 성종두담길 114(외73필지),정*******,정*******,0438508615,Y,20240118,N,NONE
20110433393,(주)동원홈푸드대영힐스클럽하우스,20230227,변경민원,일반음식점,충청북도 충주시 대소원면 성종두담길 114(외73필지),정**,정*******,0438508615,Y,20240118,N,NONE
20110433389,(주)동원홈푸드대영힐스그늘집1,20240118,변경민원,일반음식점,충청북도 충주시 대소원면 성종두담길 114(외73필지),정*******,정*******,0438508615,Y,20240118,N,NONE
20110433389,(주)동원홈푸드대영힐스그늘집1,20230227,변경민원,일반음식점,충청북도 충주시 대소원면 성종두담길 114(외73필지),정**,정*******,0438508615,Y,20240118,N,NONE
20080433188,(주)동원홈푸드대영베이스그늘집2,20240118,변경민원,일반음식점,충청북도 충주시 대소원면 성종두담길 113,정*******,정*******,0438508614,Y,20240118,N,NONE
20080433188,(주)동원홈푸드대영베이스그늘집2,20230227,변경민원,일반음식점,충청북도 충주시 대소원면 성종두담길 113,정**,정*******,0438508614,Y,20240118,N,NONE
20080433186,(주)동원홈푸드대영베이스클럽하우스,20240118,변경민원,일반음식점,충청북도 충주시 대소원면 성종두담길 113,정*******,정*******,0438508614,Y,20240118,N,NONE
20080433186,(주)동원홈푸드대영베이스클럽하우스,20230227,변경민원,일반음식점,충청북도 충주시 대소원면 성종두담길 113,정**,정*******,0438508614,Y,20240118,N,NONE
20110433391,(주)동원홈푸드대영힐스그늘집3,20240118,변경민원,일반음식점,충청북도 충주시 대소원면 성종두담길 114(외 73필지),정*******,정*******,0438508615,Y,20240118,N,NONE
20110433391,(주)동원홈푸드대영힐스그늘집3,20230227,변경민원,일반음식점,충청북도 충주시 대소원면 성종두담길 114(외 73필지),정**,정*******,0438508615,Y,20240118,N,NONE
20050323219,(유)아웃백스테이크하우스코리아 파주점,20240118,변경민원,일반음식점,"경기도 파주시 탄현면 필승로 200(파주프리미엄아울렛 2층 707,709호)",박**,S********************,0230197135,Y,20260401,N,NONE
20050323219,(유)아웃백스테이크하우스코리아 파주점,20211208,변경민원,일반음식점,"경기도 파주시 탄현면 필승로 200(파주프리미엄아울렛 2층 707,709호)",이**,박**,0230197135,Y,20260401,N,NONE
20220417576,(유)아웃백스테이크하우스코리아광명에이케이점,20240118,변경민원,일반음식점,경기도 광명시 양지로 17(AK플라자 4층 일부호 일직동),박**,S********************,028979311,Y,20260401,N,NONE
20040094283,(유)아웃백스테이크하우스코리아 사당파스텔시티점,20240118,변경민원,일반음식점,"서울특별시 서초구 방배천로 11(4층 방배동, SK리더스뷰)",이*******,송********************,028844761,Y,20260331,N,NONE
20040094283,(유)아웃백스테이크하우스코리아 사당파스텔시티점,20211208,변경민원,일반음식점,"서울특별시 서초구 방배천로 11(4층 방배동, SK리더스뷰)",이*******,이*******,028844761,Y,20260331,N,NONE
20160029200,(유)아웃백스테이크하우스코리아 동대문점,20240118,변경민원,일반음식점,서울특별시 중구 장충단로13길 20(9층 을지로6가),박**,송**,0222832902,Y,20260403,N,NONE
20160029200,(유)아웃백스테이크하우스코리아 동대문점,20211207,변경민원,일반음식점,서울특별시 중구 장충단로13길 20(9층 을지로6가),이**,박**,0222832902,Y,20260403,N,NONE
20230130836,(유)아웃백스테이크하우스코리아 양재점,20240118,변경민원,일반음식점,서울특별시 서초구 남부순환로 2567(2층 서초동),박**,S********************,,Y,20260402,N,NONE
20230646243,(주)KR산업이인(상)휴게소우동규동,20240118,변경민원,일반음식점,충청남도 공주시 이인면 논산천안고속도로 32(이인상행휴게소),박**,박**,0418568351,Y,20240118,N,NONE
20020458329,(주)KR산업이인(상)휴게소야미레스토,20240118,변경민원,일반음식점,충청남도 공주시 이인면 논산천안고속도로 32,박**,박**,0418568351,Y,20240118,N,NONE
20020458329,(주)KR산업이인(상)휴게소야미레스토,20221208,변경민원,일반음식점,충청남도 공주시 이인면 논산천안고속도로 32,임**,박**,0418568351,Y,20240118,N,NONE
20210464366,(주)KR산업이인(상)휴게소이인반상,20240118,변경민원,일반음식점,충청남도 공주시 이인면 논산천안고속도로 32(이인상행휴게소),박**,박**,0418568351,Y,20240118,N,NONE
20210464366,(주)KR산업이인(상)휴게소이인반상,20221208,변경민원,일반음식점,충청남도 공주시 이인면 논산천안고속도로 32(이인상행휴게소),임**,박**,0418568351,Y,20240118,N,NONE
20210464365,(주)KR산업이인(상)휴게소면날며칠,20240118,변경민원,일반음식점,충청남도 공주시 이인면 논산천안고속도로 32(이인상행휴게소),박**,박**,0418568351,Y,20240118,N,NONE
20210464365,(주)KR산업이인(상)휴게소면날며칠,20221208,변경민원,일반음식점,충청남도 공주시 이인면 논산천안고속도로 32(이인상행휴게소),임**,박**,0418568351,Y,20240118,N,NONE
20220717197,(유)아웃백스테이크하우스코리아 여수웅천점,20240118,변경민원,일반음식점,전라남도 여수시 웅천남7로 24(2층 203~207호 웅천동),박**,송********************,,Y,20260401,N,NONE
20210033572,(유)아웃백스테이크하우스코리아 용산아이파크몰점,20240117,변경민원,일반음식점,서울특별시 용산구 한강대로23길 55(용산역 7층 한강로3가),박**,S********************,,Y,20260331,N,NONE
20210033572,(유)아웃백스테이크하우스코리아 용산아이파크몰점,20211213,변경민원,일반음식점,서울특별시 용산구 한강대로23길 55(용산역 7층 한강로3가),이**,박**,,Y,20260331,N,NONE
